The first block gives for each co-culture type the mean C,R at time 0
the second block is the degradation data of each co-culture at t=110[h]
the format is: polymer_name	strains	C	R
Fucus evanesces	isolate_12|isolate_40|isolate_69|isolate_94	1.0446888297590537	1.098469416288842
Fucus evanesces	isolate_12|isolate_40|isolate_94	0.47158985187041447	0.13539114721840367
Fucus evanesces	isolate_12|isolate_40|isolate_94	0.3441384854723948	0.18583666584156297
Fucus evanesces	isolate_12|isolate_40|isolate_94	0.33558213772943457	0.1249926851855026
Fucus serratus	LCC_4|isolate_25|isolate_56	0.33361589986958406	0.4436288626012057
Fucus serratus	LCC_4|isolate_25|isolate_56	0.33505854497673876	0.43753590035089407
Fucus serratus	LCC_4|isolate_25|isolate_56	0.33281175055140305	0.4315951905408752
Fucus serratus	LCC_4|isolate_25|isolate_56|isolate_69	0.3792442480635763	0.5947456154299389
Fucus serratus	LCC_4|isolate_25|isolate_56|isolate_69	0.3805308461352196	0.5979250919243094
Fucus serratus	LCC_4|isolate_25|isolate_56|isolate_69	0.37757986582835323	0.5871922276802904
Fucus serratus	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.3937878231432221	0.5495158259932675
Fucus serratus	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.3948338907031467	0.5382188525142784
Fucus serratus	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.3943981090745768	0.5498082804575382
Fucus serratus	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.3604966261626554	0.4992473201095922
Fucus serratus	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.3605679278050666	0.49164992181409173
Fucus serratus	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.35980029679489023	0.5057910871001132
Fucus serratus	isolate_69	0.2985534453399292	0.4166897880560489
Fucus serratus	isolate_69	0.2934544279964417	0.40386587976571225
Fucus serratus	isolate_69	0.2918522440175007	0.38160491282888614
Fucus serratus	isolate_12|isolate_40|isolate_69|isolate_94	0.27142222430670665	0.4804748774207646
Fucus serratus	isolate_12|isolate_40|isolate_69|isolate_94	0.29278490882050867	0.5008405029927429
Fucus serratus	isolate_12|isolate_40|isolate_69|isolate_94	0.28707821199148265	0.48792397047846797
Fucus serratus	isolate_12|isolate_40|isolate_94	0.06702269206401168	0.5803130627405958
Fucus serratus	isolate_12|isolate_40|isolate_94	0.05976761947126763	0.5993672487220506
Fucus serratus	isolate_12|isolate_40|isolate_94	0.06643252941487865	0.6011140038358559
Laminaria hyperborea	LCC_4|isolate_25|isolate_56	4.241679831990501	0.07358075706772832
Laminaria hyperborea	LCC_4|isolate_25|isolate_56	4.240222295196888	0.0625069795651133
Laminaria hyperborea	LCC_4|isolate_25|isolate_56	4.240139850331532	0.0738023186147886
Laminaria hyperborea	LCC_4|isolate_25|isolate_56|isolate_69	4.269494176409379	0.19019265990930104
Laminaria hyperborea	LCC_4|isolate_25|isolate_56|isolate_69	4.266109614147741	0.19466428123347662
Laminaria hyperborea	LCC_4|isolate_25|isolate_56|isolate_69	4.268659132082224	0.18698731590130802
Laminaria hyperborea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	4.3038610336727485	0.20477328364023806
Laminaria hyperborea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	4.297206631398828	0.21024679349119713
Laminaria hyperborea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	4.301593920140925	0.20740357959155425
Laminaria hyperborea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	4.266482630145576	0.1628167655006535
Laminaria hyperborea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	4.2634295486836775	0.15237182491573067
Laminaria hyperborea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	4.265550576831955	0.15254700790822287
Laminaria hyperborea	isolate_69	0.0	0.15195361404079397
Laminaria hyperborea	isolate_69	0.14804440975672728	0.154600084020394
Laminaria hyperborea	isolate_69	0.0	0.1602757068329792
Laminaria hyperborea	isolate_12|isolate_40|isolate_69|isolate_94	0.4003719909229	0.19324311591963356
Laminaria hyperborea	isolate_12|isolate_40|isolate_69|isolate_94	0.07347742886600983	0.19525396585832447
Laminaria hyperborea	isolate_12|isolate_40|isolate_69|isolate_94	0.1775195615615104	0.1952271511491744
Laminaria hyperborea	isolate_12|isolate_40|isolate_94	0.07669330527730978	0.09686958619535126
Laminaria hyperborea	isolate_12|isolate_40|isolate_94	0.07250236197792947	0.09443965622542702
Laminaria hyperborea	isolate_12|isolate_40|isolate_94	0.17693850234912922	0.09659240155086679
Marinova FV	LCC_4|isolate_25|isolate_56	2.4055072351365614	0.38839172089984875
Marinova FV	LCC_4|isolate_25|isolate_56	2.3986012214812686	0.3990291053414098
Marinova FV	LCC_4|isolate_25|isolate_56	2.4088504033270177	0.4055057929463183
Marinova FV	LCC_4|isolate_25|isolate_56|isolate_69	2.6027781242691193	0.5899888476197543
Marinova FV	LCC_4|isolate_25|isolate_56|isolate_69	2.615793858553372	0.6044754184584246
Marinova FV	LCC_4|isolate_25|isolate_56|isolate_69	2.606938929830135	0.5986811056938905
Marinova FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	2.6740063731292945	0.6141960620823793
Marinova FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	2.6661532383879343	0.6028309679890234
Marinova FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	2.666047028370491	0.5992619376881618
Marinova FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.831933319450818	0.6027686617227298
Marinova FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.825989634049422	0.6017205445843191
Marinova FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.8242119484065054	0.6133656483757858
Marinova FV	isolate_69	1.2804469412656538	0.5134245142202354
Marinova FV	isolate_69	1.3049987466849737	0.5379552770676097
Marinova FV	isolate_69	1.2212737276302539	0.5361331080779788
Marinova FV	isolate_12|isolate_40|isolate_69|isolate_94	1.4111184553036067	0.5643467970506315
Marinova FV	isolate_12|isolate_40|isolate_69|isolate_94	1.4140291527296567	0.5513053537856749
Marinova FV	isolate_12|isolate_40|isolate_69|isolate_94	1.3783846857463569	0.572425118451462
Marinova FV	isolate_12|isolate_40|isolate_94	0.6990773506429862	0.32236393014133874
Marinova FV	isolate_12|isolate_40|isolate_94	0.8206034259210964	0.35942800856950996
Marinova FV	isolate_12|isolate_40|isolate_94	0.7199808686815565	0.33672477230903036
Sigma FV	LCC_4|isolate_25|isolate_56	2.920516469807938	0.4073320111494339
Sigma FV	LCC_4|isolate_25|isolate_56	2.918191191203283	0.37780445991505796
Sigma FV	LCC_4|isolate_25|isolate_56	2.933938913944699	0.41064713398644936
Sigma FV	LCC_4|isolate_25|isolate_56|isolate_69	3.322178825160085	0.6686569226497339
Sigma FV	LCC_4|isolate_25|isolate_56|isolate_69	3.330823324312106	0.6701240682861787
Sigma FV	LCC_4|isolate_25|isolate_56|isolate_69	3.3226562183765758	0.6623155874519343
Sigma FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	3.105627435019499	0.6487071447173499
Sigma FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	3.1052094274309407	0.6575903258205766
Sigma FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	3.1031745672561866	0.6518967120057323
Sigma FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	3.266497644248707	0.5488145998386942
Sigma FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	3.2635648916574582	0.5674900541725816
Sigma FV	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	3.26141936774665	0.5448098016872351
Sigma FV	isolate_69	1.55198185671582	0.5695123693795032
Sigma FV	isolate_69	1.6066470309061098	0.5673787738114375
Sigma FV	isolate_69	1.51432637367744	0.5575605684094362
Sigma FV	isolate_12|isolate_40|isolate_69|isolate_94	1.5846190996664697	0.6378673788573288
Sigma FV	isolate_12|isolate_40|isolate_69|isolate_94	1.6590874899226997	0.6358826221236813
Sigma FV	isolate_12|isolate_40|isolate_69|isolate_94	1.5813897726970096	0.6262714958378797
Sigma FV	isolate_12|isolate_40|isolate_94	0.18527809245798021	0.37821824744678645
Sigma FV	isolate_12|isolate_40|isolate_94	0.20025264973302992	0.3886000786103594
Sigma FV	isolate_12|isolate_40|isolate_94	0.10700688195269992	0.3462259157044288
